rank,doi,year,authors,title,journal,citations,altmetric_score
35,10.1038/nature11318,2012,"Laurance, WF; Carolina Useche, D; Rendeiro, J; Kalka, M; Bradshaw, CJA; Sloan, SP; Laurance, SG; Campbell, M; Abernethy, K; Alvarez, P; Arroyo-Rodriguez, V; Ashton, P; Benítez-Malvido, J; Blom, A; Bobo, KS; Cannon, CH; Cao, M; Carroll, R; Chapman, C; Coates, R; et al.",Averting biodiversity collapse in tropical forest protected areas,Nature,973,
36,10.1038/s41467-019-13277-0,2019,"Saltré, F; Chadoeuf, J; Peters, KJ; McDowell, MC; Friedrich, T; Timmermann, A; Ulm, S; Bradshaw, CJA",Climate-human interaction associated with southeast Australian megafauna extinction patterns,Nat Commun,48,
37,10.1038/s41561-024-01388-3,2024,"Bird, MI; Brand, M; Comley, R; Fu, X; Hadeen, X; Jacobs, Z; Rowe, C; Wurster, CM; Zwart, C; Bradshaw, CJA",Late Pleistocene emergence of an anthropogenic fire regime in Australia’s tropical savannahs,Nat Geosci,47,
38,10.1038/s41559-019-0902-6,2019,"Bradshaw, CJA; Ulm, S; Williams, AN; Bird, MI; Roberts, RG; Jacobs, Z; Laviano, F; Weyrich, LS; Friedrich, T; Norman, K; Saltré, F",Minimum founding populations for the first peopling of Sahul,Nat Ecol Evol,52,
39,10.1371/journal.pone.0280260,2023,"Bradshaw, CJA; Perry, C; Judge, MA; Saraswati, CM; Heyworth, J; Le Souëf, PN","Lower infant mortality, lower household size, and more access to contraception reduce fertility in low- and middle-income nations",PLoS One,22,
40,10.1016/j.tree.2008.03.011,2008,"Brook, B; Sodhi, N; Bradshaw, CJA",Synergies among extinction drivers under global change,Trends Ecol Evol,1564,
41,10.1016/j.tree.2009.03.019,2009,"Bradshaw, CJA; Warkentin, IG; Sodhi, NS",Urgent preservation of boreal carbon stocks and biodiversity,Trends Ecol Evol,0,
42,10.1111/j.1365-2486.2007.01446.x,2007,"Bradshaw, CJA; Sodhi, NS; Peh, KS; Brook, BW",Global evidence that deforestation amplifies flood risk and severity in the developing world,Glob Change Biol,443,
43,10.1371/journal.pone.0010440,2010,"Bradshaw, CJA; Giam, X; Sodhi, NS",Evaluating the relative environmental impact of countries,PLoS One,0,
44,10.1111/gcb.15221,2020,"Monaco, CJ; Bradshaw, CJA; Booth, DJ; Gillanders, BM; Schoeman, DS; Nagelkerken, I",Dietary generalism accelerates arrival and persistence of coral‐reef fishes in their novel ranges under climate change,Glob Change Biol,46,
45,10.1016/j.quascirev.2023.107971,2023,"Bradshaw, CJA; Crabtree, SA; White, DA; Ulm, S; Bird, MI; Williams, AN; Saltré, F",Directionally supervised cellular automaton for the initial peopling of Sahul,Quat Sci Rev,11,
46,10.1525/bio.2013.63.10.9,2013,"Laurance, WF; Useche, DC; Laurance, SG; Bradshaw, CJA",Predicting publication success for biologists,BioScience,84,
47,10.1111/ecog.06619,2023,"Llewelyn, J; Strona, G; Dickman, CR; Greenville, AC; Wardle, GM; Lee, MSY; Doherty, S; Shabani, F; Saltré, F; Bradshaw, CJA",Predicting predator–prey interactions in terrestrial endotherms using random forest,Ecography,0,
48,10.1016/j.biocon.2021.109418,2022,"Di Minin, E; 't Sas-Rolfes, M; Selier, J; Louis, M; Bradshaw, CJA",Dismantling the poachernomics of the illegal wildlife trade,Biol Conserv,28,
49,10.1098/rsbl.2005.0313,2005,"Evans, K; Thresher, R; Warneke, R; Bradshaw, CJA; Pook, M; Thiele, D; Hindell, M",Periodic variability in cetacean strandings: links to large-scale climate events,Biology Letters,0,
50,10.1073/pnas.2311280120,2024,"Hamilton, R; Amano, N; Bradshaw, CJA; Saltré, F; Patalano, R; Penny, D; Stevenson, J; Wolfhagen, J; Roberts, P","Forest mosaics, not savanna corridors, dominated in Southeast Asia during the Last Glacial Maximum",Proc Natl Acad Sci USA,31,
51,10.1002/ece3.72470,2026,"Saltré, F; Peters, KJ; Rogers, DJ; Chadoeuf, J; Weisbecker, V; Bradshaw, CJA",Balancing high densities and conservation targets to optimise koala management strategies,Ecol Evol,0,
52,10.1177/08901171211064224,2022,"Ripple, WJ; DellaSala, DA; Baumann, F; Gregg, J; Betts, MG; Law, BE; Bradshaw, CJA; Wolf, C",Zoonotic diseases and our troubled relationship with nature,Am J Health Promot,7,
53,10.1093/biosci/biaf181,2026,"Arbieu, U; Bellard, C; Bradshaw, CJA; Correia, R; Courtois, P; Di Minin, E; Jarić, I; Murfree, JR; Orr, M; Roturier, S; Sartore-Baldwin, M; Veríssimo, D; Courchamp, F",Wildlife diversity in global team sport branding,BioScience,2,
54,10.1093/biosci/biz004,2019,"Herrando-Pérez, S; Bradshaw, CJA; Lewandowsky, S; Vieites, DR",Statistical language backs conservatism in climate-change assessments,BioScience,25,
55,10.1093/jmammal/gyad053,2023,"Mitchell, DR; Cairns, SC; Körtner, G; Bradshaw, CJA; Saltré, F; Weisbecker, V",Differential developmental rates and demographics in red kangaroo (<i>Osphranter rufus</i>) populations separated by the dingo barrier fence,J Mammal,2,
56,10.1111/ecog.06089,2022,"Llewelyn, J; Strona, G; McDowell, MC; Johnson, CN; Peters, KJ; Stouffer, DB; de Visser, SN; Saltré, F; Bradshaw, CJA",Sahul's megafauna were vulnerable to plant‐community changes due to their position in the trophic network,Ecography,9,
57,10.1016/j.quascirev.2025.109504,2025,"Bird, MI; Brand, M; Comley, R; Hadeen, X; Jacobs, Z; Rowe, C; Saltré, F; Wurster, CM; Zwart, C; Bradshaw, CJA","A 150,000-year lacustrine record of the Indo-Australian monsoon from northern Australia",Quat Sci Rev,4,
58,10.1016/j.biocon.2007.06.011,2007,"Traill, LW; Bradshaw, CJA; Brook, BW",Minimum viable population size: a meta-analysis of 30 years of published estimates,Biol Conserv,0,
59,10.1016/j.marpolbul.2023.115855,2024,"Huveneers, C; Blount, C; Bradshaw, CJA; Butcher, PA; Lincoln Smith, MP; Macbeth, WG; McPhee, DP; Moltschaniwskyj, N; Peddemors, VM; Green, M",Shifts in the incidence of shark bites and efficacy of beach-focussed mitigation in Australia,Mar Pollut Bull,21,
60,10.1111/1365-2664.12378,2015,"Prowse, TAA; Johnson, CN; Cassey, P; Bradshaw, CJA; Brook, BW",Ecological and economic benefits to cattle rangelands of restoring an apex predator,J Appl Ecol,52,
61,10.3897/rethinkingecology.4.32570,2019,"Bradshaw, CJA",Opportunities to improve the future of South Australia’s terrestrial biodiversity,ReEco,3,
62,10.1111/1365-2656.12029,2013,"Prowse, TAA; Johnson, CN; Lacy, RC; Bradshaw, CJA; Pollak, JP; Watts, MJ; Brook, BW",No need for disease: testing extinction hypotheses for the thylacine using multi‐species metamodels,J Anim Ecol,46,
63,10.1098/rspb.2015.2399,2016,"Johnson, CN; Alroy, J; Beeton, NJ; Bird, MI; Brook, BW; Cooper, A; Gillespie, R; Herrando-Pérez, S; Jacobs, Z; Miller, GH; Prideaux, GJ; Roberts, RG; Rodríguez-Rey, M; Saltré, F; Turney, CSM; Bradshaw, CJA",What caused extinction of the Pleistocene megafauna of Sahul?,Proc R Soc B,44,
64,10.1111/brv.13071,2024,"Soto, I; Balzani, P; Carneiro, L; Cuthbert, RN; Macêdo, R; Serhan Tarkan, A; Ahmed, DA; Bang, A; Bacela‐Spychalska, K; Bailey, SA; Baudry, T; Ballesteros‐Mejia, L; Bortolus, A; Briski, E; Britton, JR; Buřič, M; Camacho‐Cervantes, M; Cano‐Barbacil, C; Copilaș‐Ciocianu, D; Coughlan, NE; Courtois, P; Csabai, Z; Dalu, T; De Santis, V; Dickey, JWE; Dimarco, RD; Falk‐Andersson, J; Fernandez, RD; Florencio, M; Franco, ACS; García‐Berthou, E; Giannetto, D; Glavendekic, MM; Grabowski, M; Heringer, G; Herrera, I; Huang, W; Kamelamela, KL; Kirichenko, NI; Kouba, A; Kourantidou, M; Kurtul, I; Laufer, G; Lipták, B; Liu, C; López‐López, E; Lozano, V; Mammola, S; Marchini, A; Meshkova, V; Milardi, M; Musolin, DL; Nuñez, MA; Oficialdegui, FJ; Patoka, J; Pattison, Z; Pincheira‐Donoso, D; Piria, M; Probert, AF; Rasmussen, JJ; Renault, D; Ribeiro, F; Rilov, G; Robinson, TB; Sanchez, AE; Schwindt, E; South, J; Stoett, P; Verreycken, H; Vilizzi, L; Wang, Y; Watari, Y; Wehi, PM; Weiperth, A; Wiberg‐Larsen, P; Yapıcı, S; Yoğurtçuoğlu, B; Zenni, RD; Galil, BS; Dick, JTA; Russell, JC; Ricciardi, A; Simberloff, D; Bradshaw, CJA; Haubrock, PJ",Taming the terminological tempest in invasion science,Biol Rev,156,
65,10.1002/fee.2862,2025,"Arbieu, U; Bellard, C; Bradshaw, CJA; Correia, RA; Courtois, P; Di Minin, E; Jarić, I; Leroy, B; Murfree, JR; Orr, M; Roturier, S; Sartore‐Baldwin, M; Veríssimo, D; Courchamp, F",Professional sport organizations as potential champions of biodiversity conservation,Front Ecol Environ,2,
66,10.7554/eLife.63870,2021,"Bradshaw, CJA; Johnson, CN; Llewelyn, J; Weisbecker, V; Strona, G; Saltré, F",Relative demographic susceptibility does not explain the extinction chronology of Sahul’s megafauna,eLife,17,
67,10.1016/j.apenergy.2015.01.006,2015,"Hong, S; Bradshaw, CJA; Brook, BW",Global zero-carbon energy pathways using viable mixes of nuclear and renewables,Appl Energy,63,
68,10.1038/s41467-024-48273-6,2024,"Manca, F; Benedetti-Cecchi, L; Bradshaw, CJA; Cabeza, M; Gustafsson, C; Norkko, AM; Roslin, TV; Thomas, DN; White, L; Strona, G",Projected loss of brown macroalgae and seagrasses with global environmental change,Nat Commun,0,
69,10.1890/15-1784.1,2016,"Liu, X; Lyu, S; Zhou, S; Bradshaw, CJA",Warming and fertilization alter the dilution effect of host diversity on disease severity,Ecology,0,
70,10.1016/j.biocon.2009.09.001,2010,"Traill, LW; Brook, BW; Frankham, RR; Bradshaw, CJA",Pragmatic population viability targets in a rapidly changing world,Biol Conserv,214,
71,10.1038/s41598-019-45762-3,2019,"Bradshaw, CJA; Di Minin, E",Socio-economic predictors of environmental performance among African nations,Sci Rep,0,
72,10.1111/gcb.16836,2023,"Doherty, S; Saltré, F; Llewelyn, J; Strona, G; Williams, SE; Bradshaw, CJA",Estimating co‐extinction threats in terrestrial ecosystems,Glob Change Biol,0,
73,10.1371/journal.pone.0151090,2016,"Block, S; Saltré, F; Rodríguez-Rey, M; Fordham, DA; Unkel, I; Bradshaw, CJA","Where to dig for fossils: combining climate-envelope, taphonomy and discovery models",PLoS One,0,
74,10.1016/j.envres.2025.122412,2025,"Fatima, SH; Judge, MA; Le Souëf, PN; Bradshaw, CJA",Impact of climate change on diarrhoea risk in low- and middle-income countries,Environ Res,0,
75,10.1016/j.tree.2025.03.010,2025,"Carneiro, L; Leroy, B; Capinha, C; Bradshaw, CJA; Bertolino, S; Catford, JA; Camacho-Cervantes, M; Bojko, J; Klippel, G; Kumschick, S; Pincheira-Donoso, D; Tonkin, JD; Fath, BD; South, J; Manfrini, E; Dallas, T; Courchamp, F",Typology of the ecological impacts of biological invasions,Trends Ecol Evol,0,
76,10.1111/cobi.12189,2013,"Ritchie, EG; Bradshaw, CJA; Dickman, CR; Hobbs, R; Johnson, CN; Johnston, EL; Laurance, WF; Lindenmayer, D; McCarthy, MA; Nimmo, DG; Possingham, HH; Pressey, RL; Watson, DM; Woinarski, J",Continental‐scale governance and the hastening of loss of Australia's biodiversity,Conserv Biol,41,
77,10.1111/ddi.12767,2018,"Martínez, B; Radford, B; Thomsen, MS; Connell, SD; Carreño, F; Bradshaw, CJA; Fordham, DA; Russell, BD; Gurgel, CFD; Wernberg, T",Distribution models predict large contractions of habitat‐forming seaweeds in response to ocean warming,Divers Distrib,176,
78,10.1890/13-0746.1,2014,"Prowse, TAA; Johnson, CN; Bradshaw, CJA; Brook, BW",An ecological regime shift resulting from disrupted predator–prey interactions in Holocene Australia,Ecology,0,
79,10.1111/mec.70097,2025,"Gates, K; Sandoval‐Castillo, J; Beaman, JE; da Silva, KB; Saltré, F; Belov, K; Hogg, CJ; Bradshaw, CJA; Beheregaray, LB",Conservation arks: genomic erosion and inbreeding in an abundant island population of koalas,Mol Ecol,0,
