rank,doi,year,authors,title,journal,citations,altmetric_score
127,10.1073/pnas.1309226110,2013,"Brook, BW; Bradshaw, CJA; Cooper, A; Johnson, CN; Worthy, TH; Bird, M; Gillespie, R; Roberts, RG",Lack of chronological support for stepwise prehuman extinctions of Australian megafauna,Proc Natl Acad Sci USA,0,
128,10.1093/icesjms/fsy031,2018,"Bradshaw, CJA; Prowse, TAA; Drew, M; Gillanders, BM; Donnellan, SC; Huveneers, C",Predicting sustainable shark harvests when stock assessments are lacking,ICES J Mar Sci,0,
129,10.1038/sdata.2016.53,2016,"Rodríguez-Rey, M; Herrando-Pérez, S; Brook, BW; Saltré, F; Alroy, J; Beeton, N; Bird, MI; Cooper, A; Gillespie, R; Jacobs, Z; Johnson, CN; Miller, GH; Prideaux, GJ; Roberts, RG; Turney, CS; Bradshaw, CJA",A comprehensive database of quality-rated fossil ages for Sahul’s Quaternary vertebrates,Sci Data,0,
130,10.3354/meps319275,2006,"Meekan, M; Bradshaw, CJA; Press, M; McLean, C; Richards, A; Quasnichka, S; Taylor, J","Population size and structure of whale sharks <i>Rhincodon typus</i> at Ningaloo Reef, Western Australia",Mar Ecol Prog Ser,0,
131,10.1038/nature06518,2008,"Sims, DW; Southall, EJ; Humphries, NE; Hays, GC; Bradshaw, CJA; Pitchford, JW; James, A; Ahmed, MZ; Brierley, AS; Hindell, MA; Morritt, D; Musyl, MK; Righton, D; Shepard, ELC; Wearmouth, VJ; Wilson, RP; Witt, MJ; Metcalfe, JD",Scaling laws of marine predator search behaviour,Nature,0,
132,10.1111/eva.70092,2025,"Beaman, JE; Gates, K; Saltré, F; Hogg, CJ; Belov, K; Ashman, K; da Silva, KB; Beheregaray, LB; Bradshaw, CJA",A guide for developing demo‐genetic models to simulate genetic rescue,Evol Appl,0,
133,10.1890/100177,2011,"Clements, GR; Bradshaw, CJA; Brook, BW; Laurance, WF",The SAFE index: using a threshold population target to measure relative species threat,Front Ecol Environ,0,
134,10.1111/j.1744-7429.2006.00141.x,2006,"Brook, BW; Bradshaw, CJA; Koh, LP; Sodhi, NS",Momentum drives the crash: mass extinction in the tropics,Biotropica,0,
135,10.1111/j.1365-2664.2011.02081.x,2012,"Bradshaw, CJA; McMahon, CR; Miller, PS; Lacy, RC; Watts, MJ; Verant, ML; Pollak, JP; Fordham, DA; Prowse, TAA; Brook, BW",Novel coupling of individual‐based epidemiological and demographic models predicts realistic dynamics of tuberculosis in alien buffalo,J Appl Ecol,0,
136,10.1111/j.1472-4642.2011.00853.x,2012,"Sequeira, A; Mellin, C; Rowat, D; Meekan, MG; Bradshaw, CJA",Ocean‐scale prediction of whale shark distribution,Divers Distrib,0,
137,10.1093/biosci/biaf195,2026,"Courchamp, F; Klippel, G; Angulo, E; Arbieu, U; Bang, A; Bojko, J; Caetano, GHDO; Camacho-Cervantes, M; Carneiro, L; Cuthbert, RN; Dawson, MN; Desiderato, A; Fath, BD; Firth, JA; Latombe, G; Leroy, B; Liu, C; Manfrini, E; Pan, X; Pincheira-Donoso, D; Tonkin, JD; Vimercati, G; Wang, S; Bradshaw, CJA",Quantifying the magnitude of biological invasions using total biomass,BioScience,0,
138,10.1579/0044-7447-38.2.125,2009,"Bradshaw, CJA",Flooding policy makers with evidence to save forests,Ambio,0,
139,10.1016/j.biocon.2003.11.017,2004,"Otway, NM; Bradshaw, CJA; Harcourt, RG",Estimating the rate of quasi-extinction of the Australian grey nurse shark (<i>Carcharias taurus</i>) population using deterministic age- and stage-classified models,Biol Conserv,0,
140,10.1111/j.1755-263X.2012.00237.x,2012,"van Oosterzee, P; Blignaut, J; Bradshaw, CJA","iREDD hedges against avoided deforestation's unholy trinity of leakage, permanence and additionality",Conserv Lett,0,
141,10.1016/j.quascirev.2011.11.021,2012,"Bradshaw, CJA; Cooper, A; Turney, C; Brook, B",Robust estimates of extinction time in the geological record,Quat Sci Rev,0,
142,10.1111/csp2.448,2021,"Venning, KRW; Saltré, F; Bradshaw, CJA",Predicting targets and costs for feral‐cat reduction on large islands using stochastic population models,Conserv Sci Pract,0,
143,10.1016/j.biocon.2015.05.019,2015,"Bradshaw, CJA; Craigie, I; Laurance, WF",National emphasis on high-level protection reduces risk of biodiversity decline in tropical forest reserves,Biol Conserv,0,
144,10.1186/s12992-025-01142-3,2026,"Ubalde, J; Bradshaw, CJA; Le Souëf, PN; Judge, MA",Climate change policies fail to protect child health,Globaliz Health,0,
145,10.1016/j.biocon.2013.02.012,2013,"Bradshaw, CJA; Bowman, DM; Bond, NR; Murphy, BP; Moore, AD; Fordham, DA; Thackway, R; Lawes, MJ; McCallum, H; Gregory, SD; Dalal, RC; Boer, MM; Lynch, AJJ; Bradstock, RA; Brook, BW; Henry, BK; Hunt, LP; Fisher, DO; Hunter, D; Johnson, CN; et al.",Brave new green world – consequences of a carbon economy for the conservation of Australian biodiversity,Biol Conserv,0,
146,10.1002/rra.3951,2022,"Thompson, RM; Barbour, EJ; Bradshaw, CJA; Briggs, S; Byron, N; Grace, M; Hart, BT; King, AJ; Likens, GE; Pollino, CA; Sheldon, F; Stewardson, MJ; Thoms, M; Watts, RJ; Webb, JA",Principles for scientists working at the river science‐policy interface,River Res Appl,0,
147,10.1016/j.rsma.2015.05.002,2016,"Speed, C; Meekan, M; Field, I; McMahon, C; Harcourt, R; Stevens, J; Babcock, R; Pillans, R; Bradshaw, CJA",Reef shark movements relative to a coastal marine protected area,Reg Stud Mar Sci,0,
148,10.1890/0012-9658(2006)87[1445:SOEFDD]2.0.CO;2,2006,"Brook, BW; Bradshaw, CJA",Strength of evidence for density dependence in abundance time series of 1198 species,Ecology,0,
149,10.1371/journal.pone.0292854,2023,"Evans, T; Angulo, E; Bradshaw, CJA; Turbelin, A; Courchamp, F",Global economic costs of alien birds,PLoS One,0,
